Bullied_in_school,Bullied_outside_school,Cyber_bullied,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
No,No,No,14 years old,Male,0 times,0 times,Never,2,0 days,Rarely,Sometimes,No,No,No,Yes,Yes
No,Yes,Yes,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Sometimes,Yes,No,No,No,No
No,Yes,Yes,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No,No,Yes,No
No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Sometimes,No,No,No,Yes,No
No,No,Yes,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,Yes,No
No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Never,No,No,No,No,No
Yes,Yes,No,15 years old,Female,0 times,0 times,Most of the time,2,0 days,Most of the time,Always,Yes,No,No,Yes,No
Yes,No,No,15 years old,Female,0 times,1 time,Most of the time,3 or more,0 days,Always,Never,Yes,No,No,Yes,No
Yes,No,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Always,Most of the time,Yes,No,No,No,No
Yes,Yes,Yes,15 years old,Female,0 times,2 or 3 times,Most of the time,0,1 or 2 days,Rarely,Never,Yes,Yes,No,No,No
Yes,Yes,Yes,15 years old,Female,2 or 3 times,0 times,Always,0,0 days,Rarely,Rarely,Yes,No,No,No,No
Yes,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
No,Yes,No,15 years old,Male,2 or 3 times,1 time,Rarely,3 or more,6 to 9 days,Most of the time,Always,No,Yes,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Most of the time,2,0 days,Sometimes,Rarely,Yes,No,No,Yes,No
No,No,No,15 years old,Male,0 times,1 time,Always,0,0 days,Rarely,Never,Yes,No,No,No,No
No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Never,No,No,No,Yes,Yes
No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Rarely,No,No,No,No,No
Yes,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No,No,No,No
No,No,No,15 years old,Female,2 or 3 times,4 or 5 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
Yes,Yes,No,15 years old,Female,4 or 5 times,2 or 3 times,Sometimes,2,0 days,Sometimes,Always,No,No,No,No,No
No,Yes,No,15 years old,Male,2 or 3 times,4 or 5 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,No,No
Yes,No,No,16 years old,Male,0 times,0 times,Sometimes,2,0 days,Never,Always,No,No,No,No,No
Yes,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,6 to 9 days,Most of the time,Sometimes,No,Yes,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,Yes
Yes,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,Yes,Yes
Yes,Yes,Yes,15 years old,Male,0 times,0 times,Rarely,1,0 days,Most of the time,Sometimes,No,No,No,No,No
Yes,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
No,Yes,Yes,15 years old,Female,4 or 5 times,4 or 5 times,Sometimes,3 or more,1 or 2 days,Rarely,Never,No,Yes,No,Yes,No
No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Always,No,No,No,Yes,No
Yes,Yes,Yes,16 years old,Male,0 times,0 times,Never,2,0 days,Sometimes,Never,No,No,No,No,No
No,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Never,No,No,No,Yes,Yes
No,No,No,16 years old,Female,0 times,0 times,Sometimes,1,1 or 2 days,Most of the time,Rarely,No,Yes,No,No,No
No,Yes,No,17 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Never,No,No,No,No,No
